Time Interval,Segment Number,1,2,3,4,5,6,7,
 7:00,Segment Label,S1,S2,S3,S4,S5,S6,S7,
,Type (B;ONR;OFR;R or W),B,B,B,B,B,B,B,
,Length (ft),5280,5280,5280,5280,5280,5280,10560,
,Number of Lanes,2,2,2,2,2,2,2,
,FF Speed (Mi/hr),40,40,40,40,40,40,40,
,Segment Demand (vph),1568,608,428,236,56,8,4,
,Capacity Adjustment Factor,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
,Origin Demand Adjustment Factor,1.11,1.11,1.11,1.11,1.11,1.11,1.11,
,Destination Demand Adjustment Factor,1.11,1.11,1.11,1.11,1.11,1.11,1.11,
,Detailed Info
,% Trucks,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
,% of RV's,0,0,0,0,0,0,0,
,On-Ramp Demand (vph),,,,,,,,
,On-Ramp % Trucks,,,,,,,,
,On-Ramp % RV's,,,,,,,,
,Off-Ramp Demand (vph),,,,,,,,
,Off-Ramp % Trucks,,,,,,,,
,Off-Ramp % RVs,,,,,,,,
,Acc/Dec Lane Length (ft),,,,,,,,
,Number of Lanes on Ramps,,,,,,,,
,Ramp on Left or Right (L/R),,,,,,,,
,Ramp FFS(mi/hr),,,,,,,,
 7:00,,Link (from->to),1->30,30->31,31->32,32->33,33->35,35->34,34->2,
 7:15,Segment Label,S1,S2,S3,S4,S5,S6,S7,
,Type (B;ONR;OFR;R or W),B,B,B,B,B,B,B,
,Length (ft),5280,5280,5280,5280,5280,5280,10560,
,Number of Lanes,2,2,2,2,2,2,2,
,FF Speed (Mi/hr),40,40,40,40,40,40,40,
,Segment Demand (vph),308,1268,1448,1640,1800,1668,1324,
,Capacity Adjustment Factor,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
,Origin Demand Adjustment Factor,1.11,1.11,1.11,1.11,1.11,1.11,1.11,
,Destination Demand Adjustment Factor,1.11,1.11,1.11,1.11,1.11,1.11,1.11,
,Detailed Info
,% Trucks,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
,% of RV's,0,0,0,0,0,0,0,
,On-Ramp Demand (vph),,,,,,,,
,On-Ramp % Trucks,,,,,,,,
,On-Ramp % RV's,,,,,,,,
,Off-Ramp Demand (vph),,,,,,,,
,Off-Ramp % Trucks,,,,,,,,
,Off-Ramp % RVs,,,,,,,,
,Acc/Dec Lane Length (ft),,,,,,,,
,Number of Lanes on Ramps,,,,,,,,
,Ramp on Left or Right (L/R),,,,,,,,
,Ramp FFS(mi/hr),,,,,,,,
 7:15,,Link (from->to),1->30,30->31,31->32,32->33,33->35,35->34,34->2,
 7:30,Segment Label,S1,S2,S3,S4,S5,S6,S7,
,Type (B;ONR;OFR;R or W),B,B,B,B,B,B,B,
,Length (ft),5280,5280,5280,5280,5280,5280,10560,
,Number of Lanes,2,2,2,2,2,2,2,
,FF Speed (Mi/hr),40,40,40,40,40,40,40,
,Segment Demand (vph),2784,1560,1380,1188,1028,1028,1028,
,Capacity Adjustment Factor,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
,Origin Demand Adjustment Factor,1.11,1.11,1.11,1.11,1.11,1.11,1.11,
,Destination Demand Adjustment Factor,1.11,1.11,1.11,1.11,1.11,1.11,1.11,
,Detailed Info
,% Trucks,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
,% of RV's,0,0,0,0,0,0,0,
,On-Ramp Demand (vph),,,,,,,,
,On-Ramp % Trucks,,,,,,,,
